 Extrato Conta Corrente 
Conta ;18770681
Período ;31/07/2024 a 29/08/2024

Data Lançamento;Histórico;Descrição;Valor;Saldo
28/08/2024;Compra no débito;Premiun                Rio De Janeir Bra;-3,19
27/08/2024;Compra no débito;Bom Grill              Rio De Janeir Bra;-45,90
26/08/2024;Compra no débito;Mega Dist Alimentos    Rio De Janeir Bra;-14,11
25/08/2024;Compra no débito;Mercado Super Compras  Rio De Janeir Bra;-22,49
25/08/2024;Compra no débito;Casa Castro            Rio De Janeir Bra;-7,09
25/08/2024;Compra no débito;Casa Castro            Rio De Janeir Bra;-5,00
25/08/2024;Compra no débito;Mercado Super Compras  Rio De Janeir Bra;-7,29
24/08/2024;Compra no débito;Mega Dist Alimentos    Rio De Janeir Bra;-33,77
24/08/2024;Compra no débito;Padaria Amendoeiras    Rio De Janeir Bra;-5,00
24/08/2024;Compra no débito;Amandafreitas          Rio De Janeir Bra;-2,99
23/08/2024;Compra no débito;Mega Dist Alimentos    Rio De Janeir Bra;-17,61
22/08/2024;Compra no débito;Estacao Dos Biscoitos2 Rio De Janeir Bra;-9,60
22/08/2024;Compra no débito;Mate Pedro Ii Ltda     Rio De Janeir Bra;-4,50
21/08/2024;Compra no débito;Estacao Do Pao De Quei Rio De Janeir Bra;-7,50
21/08/2024;Compra no débito;Estacao Do Pao De Quei Rio De Janeir Bra;-5,00
20/08/2024;Compra no débito;Cappta *bar E Restaura Rio De Janeir Bra;-20,00
20/08/2024;Compra no débito;Estacao Do Pao De Quei Rio De Janeir Bra;-5,00
20/08/2024;Compra no débito;Drogaria Cumani Urugua Rio De Janeir Bra;-5,99
20/08/2024;Compra no débito;Multi Market           Rio De Janeir Bra;-2,99
20/08/2024;Compra no débito;Casa Do Biscoito Centr Rio De Janeir Bra;-8,48
20/08/2024;Compra no débito;Via Lopes              Rio De Janeir Bra;-15,00
18/08/2024;Compra no débito;Mega Dist Alimentos    Rio De Janeir Bra;-20,66
17/08/2024;Compra no débito;Mega Dist Alimentos    Rio De Janeir Bra;-25,65
16/08/2024;Compra no débito;Mega Dist Alimentos    Rio De Janeir Bra;-5,09
